date,state,confirmed_cases
04-Jun-20,Andaman and Nicobar Islands,0
04-Jun-20,Andhra Pradesh,141
04-Jun-20,Arunachal Pradesh,5
04-Jun-20,Assam,285
04-Jun-20,Bihar,126
04-Jun-20,Chandigarh,1
04-Jun-20,Chhattisgarh,147
04-Jun-20,Delhi,1359
04-Jun-20,Dadra and Nagar Haveli and Daman and Diu,3
04-Jun-20,Goa,40
04-Jun-20,Gujarat,492
04-Jun-20,Himachal Pradesh,24
04-Jun-20,Haryana,327
04-Jun-20,Jharkhand,63
04-Jun-20,Jammu and Kashmir,285
04-Jun-20,Karnataka,257
04-Jun-20,Kerala,94
04-Jun-20,Ladakh,4
04-Jun-20,Lakshadweep,0
04-Jun-20,Maharashtra,2933
04-Jun-20,Meghalaya,0
04-Jun-20,Manipur,16
04-Jun-20,Madhya Pradesh,174
04-Jun-20,Mizoram,3
04-Jun-20,Nagaland,22
04-Jun-20,Odisha,90
04-Jun-20,Punjab,39
04-Jun-20,Puducherry,9
04-Jun-20,Rajasthan,210
04-Jun-20,Sikkim,0
04-Jun-20,Telangana,127
04-Jun-20,Tamil Nadu,1384
04-Jun-20,Tripura,24
04-Jun-20,State Unassigned,360
04-Jun-20,Uttar Pradesh,367
04-Jun-20,Uttarakhand,68
04-Jun-20,West Bengal,368
